,train,val,test
TCGA-06-0138-01Z-00-DX1.212817bd-0fa0-4503-ae5b-4eaee8ee95e5,True,False,False
TCGA-06-0138-01Z-00-DX2.7235a461-6b3f-489c-9bff-cb0ccba874ea,True,False,False
TCGA-06-0138-01Z-00-DX4.8aec0797-c88f-4345-ab9b-dfba99dd91e6,True,False,False
TCGA-06-0139-01Z-00-DX1.480e4717-5290-43a4-8534-62b7761ebe61,True,False,False
TCGA-06-0139-01Z-00-DX2.75346f8f-b81b-4667-8f71-fd2209686888,True,False,False
TCGA-06-0141-01Z-00-DX1.ec301079-2d58-4079-b2ab-d8fdbca2fbf7,True,False,False
TCGA-06-0141-01Z-00-DX2.9c16caf2-d538-4233-9480-1188d85c229d,True,False,False
TCGA-06-0141-01Z-00-DX4.3efe78fa-f1ee-42ae-83f8-c3fe79b997f3,True,False,False
TCGA-06-0141-01Z-00-DX5.b2dbdb69-a038-4b9e-a094-252d78287aad,True,False,False
TCGA-06-0143-01Z-00-DX1.d8a36977-d169-4059-9cd6-3f65f1bc821a,True,False,False
TCGA-06-0143-01Z-00-DX2.6c4cb4fb-440c-4099-b7db-ff863614c9b8,True,False,False
TCGA-06-0143-01Z-00-DX3.e9011249-11f6-454b-98f1-7f2bcfea228c,True,False,False
TCGA-06-0145-01Z-00-DX1.808a018c-cbbf-4723-b843-4bbf574cc40c,True,False,False
TCGA-06-0145-01Z-00-DX2.9713b8c7-4664-40e9-82a1-da0a82d544c2,True,False,False
TCGA-06-0145-01Z-00-DX3.319351f0-313a-4c99-b12f-a67b52c6785c,True,False,False
TCGA-06-0145-01Z-00-DX4.52da9a91-d1df-4e6b-8a80-9f2a2749cdeb,True,False,False
TCGA-06-0147-01Z-00-DX1.5a8942f3-ec7b-4698-8fd1-5feb7ee81849,True,False,False
TCGA-06-0147-01Z-00-DX2.57e3c7a3-b271-4ab3-b6a0-aac29f5d52a6,True,False,False
TCGA-06-0148-01Z-00-DX1.3b19c82d-c52d-4514-8bf6-5b0f629c18de,True,False,False
TCGA-06-0148-01Z-00-DX3.4552941d-88e8-499f-ab40-92b86e9b6459,True,False,False
TCGA-06-0148-01Z-00-DX4.646db76b-0dae-417c-8f52-3feaa14518e3,True,False,False
TCGA-06-0148-01Z-00-DX5.a79e0d64-0318-4976-8b53-6d08b621b31b,True,False,False
TCGA-06-0152-01Z-00-DX2.3abd50dc-888e-4cc4-b92a-65767de46038,True,False,False
TCGA-06-0152-01Z-00-DX4.5403448f-0430-4324-a801-37e597d9a8ff,True,False,False
TCGA-06-0152-01Z-00-DX5.d43177f3-75c0-4049-8af7-76c2c12e6411,True,False,False
TCGA-06-0152-01Z-00-DX6.b20146eb-b6a1-4f9f-842f-8761fc489965,True,False,False
TCGA-06-0152-01Z-00-DX7.9e6068c4-3cd2-4fe2-ae00-62ce530b8a5b,True,False,False
TCGA-06-0152-01Z-00-DX8.8bb9f170-315e-4fce-ab06-6c87f1babaa0,True,False,False
TCGA-06-0152-01Z-00-DX9.8620b410-9d16-418e-88e1-b75c020da50a,True,False,False
TCGA-06-0154-01Z-00-DX2.5d908d2e-08ba-4ae0-bb0e-34472a5ed4b3,True,False,False
TCGA-06-0154-01Z-00-DX3.3a5e8636-58fa-4fbf-b15d-a674d7195ffd,True,False,False
TCGA-06-0157-01Z-00-DX1.0bb9c6aa-3a9c-4d2b-9ce6-9a1cf54882a4,True,False,False
TCGA-06-0157-01Z-00-DX2.8ff48e0c-0470-4055-af66-a1a40e587d50,True,False,False
TCGA-06-0157-01Z-00-DX3.92209e36-62ba-4296-a166-4d147696bb68,True,False,False
TCGA-06-0157-01Z-00-DX4.3b8c3eff-e379-4f37-b6f1-fbd21fb379f5,True,False,False
TCGA-06-0157-01Z-00-DX5.4cf3a0ca-78d6-4884-83f0-de4f07080fe6,True,False,False
TCGA-06-0158-01Z-00-DX1.05358ff8-3c26-440a-9d51-bafa92cf4685,True,False,False
TCGA-06-0166-01Z-00-DX1.f0c10e84-1591-4ac1-9d14-0eb468f155f1,True,False,False
TCGA-06-0166-01Z-00-DX2.bdf93b56-8162-4ddf-a7ef-42dd461daa4f,True,False,False
TCGA-06-0166-01Z-00-DX4.7466fd4b-fdce-4fc3-aafc-0c4ce6c84a54,True,False,False
TCGA-06-0166-01Z-00-DX5.a5de0008-83a4-4bff-8efe-fa70dcc9a6a3,True,False,False
TCGA-06-0166-01Z-00-DX6.c9cc3892-da84-44e8-b5d1-895f831fbcdb,True,False,False
TCGA-06-0166-01Z-00-DX7.901d41a8-1657-4c8a-85f6-14de6a02b526,True,False,False
TCGA-06-0168-01Z-00-DX1.de032f58-1712-4029-a607-87c858c6c965,True,False,False
TCGA-06-0168-01Z-00-DX3.6a390bd7-bbe8-4cdf-a562-2ef52d781186,True,False,False
TCGA-06-0171-01Z-00-DX1.70065449-b7e1-4057-9aef-5cd94d57e6ad,True,False,False
TCGA-06-0171-01Z-00-DX2.36b8a018-8845-4600-954b-dc12ce772ad6,True,False,False
TCGA-06-0171-01Z-00-DX3.3006472c-0009-40eb-bb93-7896f62e1ed2,True,False,False
TCGA-06-0171-01Z-00-DX4.e27958fb-cc72-4d23-ba97-1bbf52e061e0,True,False,False
TCGA-06-0171-01Z-00-DX5.223799ea-caac-4314-8e9d-5cb466756a64,True,False,False
TCGA-06-0173-01Z-00-DX1.b7d1b579-797f-4364-bd7d-29522b4fb6aa,True,False,False
TCGA-06-0173-01Z-00-DX2.0de78487-bbad-4394-872c-a6613f610ec8,True,False,False
TCGA-06-0173-01Z-00-DX3.e89f5451-2b89-437b-a202-e821bf675eea,True,False,False
TCGA-06-0174-01Z-00-DX1.85e41742-7e59-49d8-aaae-20feccaa2f68,True,False,False
TCGA-06-0174-01Z-00-DX3.23b6e12e-dfc1-4c6f-903e-170038a0e055,True,False,False
TCGA-06-0174-01Z-00-DX4.9fdc2626-c1dc-4b4f-9452-6adb2f6397fb,True,False,False
TCGA-06-0176-01Z-00-DX1.bc0aabdd-adc2-4aae-830a-2c30cad01027,True,False,False
TCGA-06-0176-01Z-00-DX2.25e77a0c-317f-40e1-bd80-401f4df22d20,True,False,False
TCGA-06-0176-01Z-00-DX3.43d33689-7bea-4a18-b6dd-cf0c2df4a584,True,False,False
TCGA-06-0176-01Z-00-DX4.98c6f166-0c65-47c5-9d26-c4e524b25577,True,False,False
TCGA-06-0184-01Z-00-DX1.aa1c8dbf-ae23-4f98-8b44-86bcbb24e839,True,False,False
TCGA-06-0184-01Z-00-DX2.b2242e9f-fac3-4e80-a82c-413e32332b68,True,False,False
TCGA-06-0184-01Z-00-DX3.05b0e8e2-9a0a-460f-a7f7-f87a425ad1f1,True,False,False
TCGA-06-0184-01Z-00-DX4.9beaedc5-cc34-4ebc-a0e5-318ef0fd2765,True,False,False
TCGA-06-0185-01Z-00-DX1.63a424a7-724c-45f4-9eee-c7fc1eda49a6,True,False,False
TCGA-06-0187-01Z-00-DX1.cdb244df-72af-4ffa-b063-a4ab81f89617,True,False,False
TCGA-06-0187-01Z-00-DX3.e8345881-5d2e-4880-b1db-d28ebd302664,True,False,False
TCGA-06-0187-01Z-00-DX4.defa1a76-b328-474e-8bdb-2382cc05ada4,True,False,False
TCGA-06-0188-01Z-00-DX1.0f407c83-b086-4b9b-815f-a300c8ab8f22,True,False,False
TCGA-06-0188-01Z-00-DX2.a6885b32-1397-4158-824e-1b7faa11f954,True,False,False
TCGA-06-0188-01Z-00-DX4.c3e0e229-4c7c-4e4b-b2fa-9e9a835d6cf3,True,False,False
TCGA-06-0188-01Z-00-DX6.d85af94e-adbb-4489-b98f-57d2431e28f6,True,False,False
TCGA-06-0189-01Z-00-DX2.675bdae0-98f7-4aa2-ae7e-7ae96a0202b7,True,False,False
TCGA-06-0189-01Z-00-DX3.8e42ed95-d001-430a-a24f-65e7838ff95a,True,False,False
TCGA-06-0189-01Z-00-DX4.bc4d88a2-dd59-41b4-9218-e3cb458bb5f4,True,False,False
TCGA-06-0190-01Z-00-DX1.84da294a-81f2-4820-b72e-f084769f771a,True,False,False
TCGA-06-0192-01Z-00-DX1.2b015dd0-c962-4c36-a472-8ead6806374a,True,False,False
TCGA-06-0192-01Z-00-DX2.3cf7443b-1e5a-4d18-bb93-8000efe53777,True,False,False
TCGA-06-0195-01Z-00-DX5.f0adc4a5-671d-4b0f-9ae1-de3869c199b3,True,False,False
TCGA-06-0197-01Z-00-DX1.8b3d8c3f-2320-4ab4-a9aa-e3b8a68d267f,True,False,False
TCGA-06-0197-01Z-00-DX2.3e580bbd-caea-4d70-aa95-974618f337ce,True,False,False
TCGA-06-0197-01Z-00-DX3.ad53065b-33ac-4dd9-bd1a-98ef2c8fa057,True,False,False
TCGA-06-0201-01Z-00-DX1.c3a5e3a4-7614-4446-b1a3-59c585063744,True,False,False
TCGA-06-0206-01Z-00-DX1.5ede33b2-4778-4e33-bb83-17f81bb35aca,True,False,False
TCGA-06-0206-01Z-00-DX2.df39f5d7-9d4b-489d-8f86-1a9ae9793ab7,True,False,False
TCGA-06-0206-01Z-00-DX3.00cfa9c4-d943-4821-983a-a65218de29ef,True,False,False
TCGA-06-0208-01Z-00-DX1.cea28355-3b64-48e6-b5f7-9a0d2b319150,True,False,False
TCGA-06-0208-01Z-00-DX2.7578ffcb-f02a-41dd-8456-71f333407a6d,True,False,False
TCGA-06-0208-01Z-00-DX3.99d68d3a-5884-4eb8-bdee-8ed1bc08bc61,True,False,False
TCGA-06-0208-01Z-00-DX4.b377f84e-cc15-428c-8027-df259709bf38,True,False,False
TCGA-06-0208-01Z-00-DX6.f811b11c-b042-42cb-ba9f-81747fb15fde,True,False,False
TCGA-06-0209-01Z-00-DX1.d6963fa7-3427-4088-8dc3-cfc489ac0ddf,True,False,False
TCGA-06-0209-01Z-00-DX2.696bfc96-020e-41c4-9a3a-e34e170d0e50,True,False,False
TCGA-06-0209-01Z-00-DX4.697ea567-9fed-423c-a332-0d61b81ce9e2,True,False,False
TCGA-06-0209-01Z-00-DX5.1f44756d-7ad7-401c-bf8b-ecc88704d92d,True,False,False
TCGA-06-0209-01Z-00-DX7.466111c9-2c18-477b-a699-540983a3c36c,True,False,False
TCGA-06-0209-01Z-00-DX8.4a540299-b778-43e4-b80b-f70d5f222378,True,False,False
TCGA-06-0210-01Z-00-DX1.14cee57f-1239-4e5a-8bab-f70fa36dd367,True,False,False
TCGA-06-0210-01Z-00-DX2.1e456f3b-bebb-4606-9072-393abf077ef0,True,False,False
TCGA-06-0210-01Z-00-DX4.58a33622-8ece-4934-b8bd-9aa64485ab4c,True,False,False
TCGA-06-0210-01Z-00-DX5.ac28952b-2394-4477-a9eb-276b0d6e9d67,True,False,False
TCGA-06-0211-01Z-00-DX1.9c0772e4-c956-4f0a-bfc2-dc03640167a9,True,False,False
TCGA-06-0211-01Z-00-DX2.dea01d17-0a8c-4e58-a82a-9b2de99258af,True,False,False
TCGA-06-0213-01Z-00-DX1.16219fe9-0be9-46b2-9190-02b981c4bc39,True,False,False
TCGA-06-0213-01Z-00-DX2.5968b29e-a689-4d8a-80b0-e0ffff8bcec6,True,False,False
TCGA-06-0213-01Z-00-DX3.337437a8-ffca-4ca2-9b94-902ce032d5f4,True,False,False
TCGA-06-0213-01Z-00-DX4.2e849308-80d0-4cd1-92c2-8649c790095c,True,False,False
TCGA-06-0213-01Z-00-DX5.09126b9a-a487-4a3e-ad6c-935a2786ce47,True,False,False
TCGA-06-0214-01Z-00-DX1.96cbe709-d077-4613-bfcd-2fdb0485cdb6,True,False,False
TCGA-06-0214-01Z-00-DX2.b30c4c85-604f-42ea-b2f8-e583566fcefe,True,False,False
TCGA-06-0214-01Z-00-DX3.a2d6733a-d151-434f-bd63-ed3977dfd3af,True,False,False
TCGA-06-0216-01Z-00-DX1.dfa5d225-9ccb-44af-83f2-9af3f2e825db,True,False,False
TCGA-06-0216-01Z-00-DX2.f0041db3-39da-48a8-860e-b25876ff537e,True,False,False
TCGA-06-0216-01Z-00-DX3.78c3b2fb-8e64-4f1a-a5af-765c92286b90,True,False,False
TCGA-06-0216-01Z-00-DX4.3c6ee8ee-81df-4714-b04d-3088c11b0aa2,True,False,False
TCGA-06-0216-01Z-00-DX5.b9a89800-36b0-47ec-b510-75a74f2e433c,True,False,False
TCGA-06-0219-01Z-00-DX1.592a9605-e9ec-46f5-a055-5001088f47d0,True,False,False
TCGA-06-0219-01Z-00-DX2.530ad4a9-eed1-4127-8dd3-b0a7a6cb2b7d,True,False,False
TCGA-06-0237-01Z-00-DX1.0705028b-46e9-41b0-8083-c347fb746b96,True,False,False
TCGA-06-0237-01Z-00-DX2.684d94ed-c551-4460-96de-5cdfa0c36622,True,False,False
TCGA-06-0238-01Z-00-DX1.3ee95605-124e-4849-a36b-eee7e19ce3de,True,False,False
TCGA-06-0644-01Z-00-DX1.bbce7e5c-6df3-4963-ac75-9f566a2fde12,True,False,False
TCGA-06-0646-01Z-00-DX1.459f1e60-f299-4fea-bc00-9aa068e67f76,True,False,False
TCGA-06-0646-01Z-00-DX2.81b40946-c2b9-4850-9f96-da44593561a5,True,False,False
TCGA-06-0646-01Z-00-DX3.4e029189-ecef-4e12-be1a-c67fbdf8e22b,True,False,False
TCGA-06-0648-01Z-00-DX1.9e5a6a97-8bef-41a5-9c7b-675b254f4aad,True,False,False
TCGA-06-0648-01Z-00-DX2.f9ec13f9-adc9-4e6b-bc78-01a00e415ffe,True,False,False
TCGA-06-0649-01Z-00-DX1.6319b11e-055a-4ef9-98d7-02dac5f649fe,True,False,False
TCGA-06-0649-01Z-00-DX2.d9e0f4c7-cfea-4724-9109-a9642c530def,True,False,False
TCGA-06-0743-01Z-00-DX1.efc295e1-bb7b-4706-99e9-01901c3869d2,True,False,False
TCGA-06-0744-01Z-00-DX1.948cea15-dbea-483c-becb-78166086ec0a,True,False,False
TCGA-06-0745-01Z-00-DX1.3e0f266b-f1b5-42cb-8633-8cea6ee0ba6e,True,False,False
TCGA-06-0747-01Z-00-DX1.d00990ff-e213-4c7b-9643-6eb4b47d4613,True,False,False
TCGA-06-0747-01Z-00-DX2.3c60f8bf-1e53-406a-89b8-e447d6280ab2,True,False,False
TCGA-06-0747-01Z-00-DX3.34c9713f-ce7a-4add-8142-cd56e4e9a7b2,True,False,False
TCGA-06-0747-01Z-00-DX4.b69d6545-b545-486e-83bc-863330ee2083,True,False,False
TCGA-06-0747-01Z-00-DX5.d846c7c0-b0dc-41e7-b872-d8cdaf849ed3,True,False,False
TCGA-06-0749-01Z-00-DX3.a2a7c65c-9629-4575-9a2a-b3c0c771a1fa,True,False,False
TCGA-06-0749-01Z-00-DX4.d44dbb9e-345f-46b0-a023-a1258d384b6f,True,False,False
TCGA-06-0750-01Z-00-DX1.c20cc0a5-0514-4b58-a83e-e89b54d7fd59,True,False,False
TCGA-06-0750-01Z-00-DX2.a8d7b719-b24c-4403-b977-cd38f1e39709,True,False,False
TCGA-06-0750-01Z-00-DX3.a8f15076-293c-4f54-b047-a32eaeccca11,True,False,False
TCGA-06-0875-01Z-00-DX1.c04e2f8e-868d-455b-88b0-af5ee89bf319,True,False,False
TCGA-06-0876-01Z-00-DX1.4268ceff-f46b-4d72-8606-45e79d935325,True,False,False
TCGA-06-0876-01Z-00-DX2.62c8149d-ef50-40f9-b322-59fc242e63b4,True,False,False
TCGA-06-0877-01Z-00-DX1.b936af27-4f87-44ba-8bb7-8f3f5b994961,True,False,False
TCGA-06-0877-01Z-00-DX2.b5af1c90-e841-49a9-906e-73fd6cba57be,True,False,False
TCGA-06-0878-01Z-00-DX1.75aa3e89-edcb-48c5-b778-7aae2085779f,True,False,False
TCGA-06-0878-01Z-00-DX2.6eb16ff4-4b68-47af-82a5-a04789308d2c,True,False,False
TCGA-06-0881-01Z-00-DX1.0051da3c-d88a-483d-ae4c-90fe378bf0c3,True,False,False
TCGA-06-0882-01Z-00-DX1.90e658c5-a34f-435e-972f-938ea89d0a6b,True,False,False
TCGA-06-0882-01Z-00-DX2.7ad706e3-002e-4e29-88a9-18953ba422bf,True,False,False
TCGA-06-1084-01Z-00-DX1.35d581fd-93f6-46ee-9dc7-b25f15e83080,True,False,False
TCGA-06-1084-01Z-00-DX2.f36f31e3-2d41-410c-a5b4-91f1f7508eec,True,False,False
TCGA-06-1087-01Z-00-DX1.2498ed55-5e6d-4e65-9a5d-f9be74c5f250,True,False,False
TCGA-06-1087-01Z-00-DX2.1f91f05a-f277-4c98-9955-37e0c83b745f,True,False,False
TCGA-06-1800-01Z-00-DX2.0ae4e1b5-3390-4caa-8929-7e9d359f14d0,True,False,False
TCGA-06-1801-01Z-00-DX1.94958ef7-74a5-415e-bd4c-a4e52e1f6551,True,False,False
TCGA-06-5408-01Z-00-DX1.4c572122-e7f8-488b-aad1-089301ba2a84,True,False,False
TCGA-06-5410-01Z-00-DX1.6fca0716-7c1d-4545-bdde-9cdb3aa6aa5f,True,False,False
TCGA-06-5411-01Z-00-DX1.08bf7f79-7346-4b1b-b8a7-e24abf11e848,True,False,False
TCGA-06-0128-01Z-00-DX1.daacb161-d72f-4f75-843b-596f0a7fbec7,True,False,False
TCGA-06-0128-01Z-00-DX4.91ce4e5d-c790-4175-a1c7-be965ae1df40,True,False,False
TCGA-06-0128-01Z-00-DX5.7186276e-c7fc-4003-ae02-f2358ea8dcba,True,False,False
TCGA-06-0129-01Z-00-DX2.1ea78b46-1dc7-44d8-81bf-7717072d2f15,True,False,False
TCGA-06-0129-01Z-00-DX3.bae772ea-dd36-47ec-8185-761989be3cc8,True,False,False
TCGA-06-0156-01Z-00-DX1.1303eb2c-6cf6-4173-804c-d52a111263b5,True,False,False
TCGA-06-0156-01Z-00-DX3.9ccee303-ec3c-4d99-bb94-294efe89bcef,True,False,False
TCGA-06-0178-01Z-00-DX1.6102d1a4-610b-4c5e-abc8-17dce6b84911,True,False,False
TCGA-06-0178-01Z-00-DX2.e49e7c16-8370-42ae-977b-f4bd62ad49b6,True,False,False
TCGA-06-0178-01Z-00-DX3.5af7f552-ac16-45a0-a894-8fb99e46ad87,True,False,False
TCGA-06-0178-01Z-00-DX4.16c7b728-c6ba-496f-8dc8-4f5bb4a38e56,True,False,False
TCGA-06-0178-01Z-00-DX6.eba88ad1-41fa-4e77-b4d7-afd5299cbe44,True,False,False
TCGA-06-0178-01Z-00-DX7.7b7bc1d8-99b2-4895-b9b7-a425443b9a28,True,False,False
TCGA-06-0178-01Z-00-DX8.b2b00151-d54b-4807-8cbf-69a74629604f,True,False,False
TCGA-06-0221-01Z-00-DX1.bc444e2a-9530-453a-b494-ec31ee5db9c1,True,False,False
TCGA-06-0221-01Z-00-DX2.a6568186-9532-43de-b575-be4c245b136f,True,False,False
TCGA-06-0221-01Z-00-DX3.588e9caf-660f-4f6a-be47-84e92f5a3e77,True,False,False
TCGA-06-0221-01Z-00-DX4.70dc7a1a-7a7e-4f4d-953b-5e01efdaab1e,True,False,False
TCGA-06-0221-01Z-00-DX5.af8d73e4-58f1-4fb7-80dd-3d1e3a769874,True,False,False
TCGA-06-1805-01Z-00-DX1.d67221af-2dac-40fe-bc4a-e30aa3a5fbb9,True,False,False
TCGA-06-1805-01Z-00-DX2.f917dda2-ae7d-403f-be46-b753059f8aaa,True,False,False
TCGA-06-5417-01Z-00-DX1.bf70952e-fdb5-4d0a-b0c1-2823e908f599,True,False,False
TCGA-06-6389-01Z-00-DX1.ca78be78-49a5-4b56-9482-16ec5350bb40,True,False,False
TCGA-DU-5849-01Z-00-DX1.e7b1aee3-be94-4472-a7b1-313b7dc8986b,True,False,False
TCGA-DU-5853-01Z-00-DX1.10c22c4b-d45c-45aa-830a-b2749c8bbcc4,True,False,False
TCGA-DU-5855-01Z-00-DX1.046a8964-3cdf-49cf-a65c-3254e50ae90d,True,False,False
TCGA-DU-5870-01Z-00-DX1.11f12fa4-b243-4e7a-885a-43f6ca71f024,True,False,False
TCGA-DU-5871-01Z-00-DX1.50906dc0-cc83-473a-ac50-17d9f6ee1bc3,True,False,False
TCGA-DU-5872-01Z-00-DX1.98ee5af3-3732-43a5-b628-93fd9ff9092b,True,False,False
TCGA-DU-5874-01Z-00-DX1.ce55b450-4580-43b8-9fd1-2023e5fb1f65,True,False,False
TCGA-DU-6393-01Z-00-DX1.a91ec35c-6b09-4ea7-8c15-e13119177f74,True,False,False
TCGA-DU-6394-01Z-00-DX1.2d96d992-3950-4350-abe0-e219559a7c7a,True,False,False
TCGA-DU-6396-01Z-00-DX1.0a818d89-d17b-45aa-85ce-d3a6631b7807,True,False,False
TCGA-DU-6397-01Z-00-DX1.82694102-b70e-4919-bd88-644692606d52,True,False,False
TCGA-DU-6399-01Z-00-DX1.1a964643-a0f0-4338-8976-3bf5f832236c,True,False,False
TCGA-DU-6400-01Z-00-DX1.46dd4fdb-66b4-445e-b9b7-c0eb8c114ed7,True,False,False
TCGA-DU-6401-01Z-00-DX1.117ba558-9f05-416d-b621-20c5c83895c8,True,False,False
TCGA-DU-6407-01Z-00-DX1.191e7dfe-7bb3-446f-ba9d-8123b83f75d9,True,False,False
TCGA-DU-6408-01Z-00-DX1.341db4f1-3ab8-486e-91e8-0e60081e56f9,True,False,False
TCGA-DU-7008-01Z-00-DX1.C4A4B091-9F79-4B12-AACE-521CF12DFF1C,True,False,False
TCGA-DU-7009-01Z-00-DX1.EAAC2D49-EFA4-48B1-97D9-5387C25155C4,True,False,False
TCGA-DU-7010-01Z-00-DX1.542F36CC-9685-4780-94EB-B664CECFF09D,True,False,False
TCGA-DU-7011-01Z-00-DX1.839D54AF-A0C7-4DE4-A7D0-D19C760FFB3D,True,False,False
TCGA-DU-7015-01Z-00-DX1.E604489D-E82C-4129-9CDC-16AD1D33B3F2,True,False,False
TCGA-DU-7018-01Z-00-DX1.75C2DA95-5661-4CC4-BF42-CF30137CEA9F,True,False,False
TCGA-DU-7019-01Z-00-DX1.94F228DF-0184-4D7F-9899-CCFEE24959C4,True,False,False
TCGA-DU-7294-01Z-00-DX1.42C278DB-951F-46DD-A455-7D5ED4AA7CF0,True,False,False
TCGA-DU-7298-01Z-00-DX1.1A1DDD06-53F9-4641-AC10-B6F78349DC66,True,False,False
TCGA-DU-7299-01Z-00-DX1.FF3646D8-9491-4692-998A-AABD68CABD56,True,False,False
TCGA-DU-7301-01Z-00-DX1.4495E346-12EE-4730-8682-1D77D02CF5ED,True,False,False
TCGA-DU-7302-01Z-00-DX1.DF58DDC5-A6B1-4DE2-A048-A800099F8876,True,False,False
TCGA-DU-7304-01Z-00-DX1.EA1BD5C1-A8FE-40E1-8287-B703185779CD,True,False,False
TCGA-DU-7309-01Z-00-DX1.C4D67475-FE07-4B6A-A766-A4D339A51561,True,False,False
TCGA-DU-8163-01Z-00-DX1.0f6383ea-6dd4-4424-b7b1-ec19d17d8d1a,True,False,False
TCGA-DU-8166-01Z-00-DX1.82951397-8c63-4c0f-8696-f081b170e21f,True,False,False
TCGA-DU-8168-01Z-00-DX1.e89da367-c6d4-4eb6-8d2e-96a0f8c8cd4a,True,False,False
TCGA-DU-A5TP-01Z-00-DX1.93C7592D-91A7-4A89-96A8-190654A36BA9,True,False,False
TCGA-DU-A5TS-01Z-00-DX1.FD62A1B8-0B55-4441-B650-9A8C7AEC8859,True,False,False
TCGA-DU-A5TU-01Z-00-DX1.6816DF90-0684-4F6C-BCCE-D293BE9AD93D,True,False,False
TCGA-DU-A5TW-01Z-00-DX1.8129468D-0B48-4EAA-BF6C-BA18DDA4E56C,True,False,False
TCGA-06-0209-01Z-00-DX6.4c470a76-e452-42a8-a4bf-3c0bdf9c46ff,False,True,False
TCGA-06-0141-01Z-00-DX3.0b0aaacd-38b1-46f4-b8bf-bf38c35e6188,False,True,False
TCGA-06-0188-01Z-00-DX3.4e48d0b9-9941-4b05-9f11-dfe5e3c855a9,False,True,False
TCGA-06-0169-01Z-00-DX1.a471a09b-1488-4d1e-9945-6c487bfb081f,False,True,False
TCGA-06-0124-01Z-00-DX5.5fee1242-c113-4404-b504-23b607a3459f,False,True,False
TCGA-06-0645-01Z-00-DX1.ffca480d-519c-4628-844c-946b5d000d01,False,True,False
TCGA-06-0879-01Z-00-DX2.a4d93673-f846-4518-90b8-f6f5070e8187,False,True,False
TCGA-06-0188-01Z-00-DX5.133f13cc-4387-4abc-b47d-05b5870cfe2e,False,True,False
TCGA-06-0124-01Z-00-DX1.eef7074b-4055-4d64-bc21-1f93822d63d3,False,True,False
TCGA-06-0195-01Z-00-DX3.6a796dec-5f1f-404e-b100-70e7abe3c45a,False,True,False
TCGA-06-0881-01Z-00-DX2.791dd92e-eaa1-474e-a63f-6df4b4f872b7,False,True,False
TCGA-06-0241-01Z-00-DX1.69ba208e-6941-454a-93ef-70268a646e62,False,True,False
TCGA-06-0195-01Z-00-DX2.5327662a-89b0-4297-ac6e-7af80f06cb3a,False,True,False
TCGA-06-0686-01Z-00-DX1.fc0b2e05-94e0-4540-b519-6fc0c81e8d6f,False,True,False
TCGA-DU-6406-01Z-00-DX1.ad212563-154d-4090-b86c-40d91b4d9e48,False,True,False
TCGA-06-0208-01Z-00-DX5.40d283d7-194d-454a-88de-8c1373696f73,False,True,False
TCGA-06-0174-01Z-00-DX2.de726441-7e3c-47ce-bd09-b890e2d85c5a,False,True,False
TCGA-06-5412-01Z-00-DX1.039632bd-2493-4a78-839c-3734eae662f8,False,True,False
TCGA-06-0148-01Z-00-DX2.ec9f87b1-adef-4671-a056-19d38dd214f7,False,True,False
TCGA-06-0122-01Z-00-DX3.f14607a9-7121-42ed-9889-40d4261a6d07,False,True,False
TCGA-06-0166-01Z-00-DX3.a8310185-2d75-4b48-9760-1de4e2d7e9bb,False,True,False
TCGA-06-0749-01Z-00-DX1.5831460f-c2ad-46cf-8dd4-d99dbfd0760c,False,True,False
